|        1 | C0278261 | -plasty                                                                | 2001-2005  |
|        1 | C0180307 | Defibrillators                                                         | 1991-1995  |
|        6 | C0180307 | Defibrillators                                                         | 1996-2000  |
|       15 | C0180307 | Defibrillators                                                         | 2001-2005  |
|        3 | C0180307 | Defibrillators                                                         | 2006-2010  |
|        1 | C0180307 | Defibrillators                                                         | 2011-2013  |
|        3 | C0162589 | Defibrillators, Implantable                                            | 1991-1995  |
|        7 | C0162589 | Defibrillators, Implantable                                            | 1996-2000  |
|        7 | C0162589 | Defibrillators, Implantable                                            | 2001-2005  |
|        6 | C0162589 | Defibrillators, Implantable                                            | 2006-2010  |
|        1 | C0162589 | Defibrillators, Implantable                                            | 2011-2013  |
|        1 | C0308779 | DELIVER                                                                | 2006-2010  |
|        1 | C0011307 | Denervation                                                            | 1996-2000  |
|        1 | C0011307 | Denervation                                                            | 2001-2005  |
|        2 | C0011307 | Denervation                                                            | 2006-2010  |
|        4 | C0011307 | Denervation                                                            | 2011-2013  |
|        1 | C1511790 | Detection                                                              | 1980-1985  |
|        2 | C1511790 | Detection                                                              | 1991-1995  |
|        4 | C1511790 | Detection                                                              | 1996-2000  |
|        4 | C1511790 | Detection                                                              | 2001-2005  |
|        4 | C1511790 | Detection                                                              | 2006-2010  |
|        6 | C1511790 | Detection                                                              | 2011-2013  |
|        5 | C1504335 | Device therapy                                                         | 2001-2005  |
|        3 | C1504335 | Device therapy                                                         | 2006-2010  |
|        1 | C1504335 | Device therapy                                                         | 2011-2013  |
|        1 | C0280858 | Dexverapamil                                                           | 2001-2005  |
|        2 | C0011900 | Diagnosis                                                              | 1991-1995  |
|        1 | C0011900 | Diagnosis                                                              | 1996-2000  |
|        9 | C0011900 | Diagnosis                                                              | 2001-2005  |
|        7 | C0011900 | Diagnosis                                                              | 2006-2010  |
|        3 | C0011900 | Diagnosis                                                              | 2011-2013  |
|        1 | C1273532 | Diagnostic device                                                      | 2011-2013  |
|        2 | C0011946 | Dialysis procedure                                                     | 2011-2013  |
|        1 | C0012203 | Diethylstilbestrol                                                     | 2011-2013  |
|        1 | C0058012 | digitalin                                                              | 2006-2010  |
|        2 | C0012253 | Digitalis Glycosides                                                   | 1996-2000  |
|        1 | C0304520 | Digitalis preparation                                                  | 1986-1990  |
|        1 | C0743200 | DIGITALIS THERAPY                                                      | 1986-1990  |
|        8 | C0012265 | Digoxin                                                                | 1980-1985  |
|       19 | C0012265 | Digoxin                                                                | 1986-1990  |
|       24 | C0012265 | Digoxin                                                                | 1991-1995  |
|       19 | C0012265 | Digoxin                                                                | 1996-2000  |
|       18 | C0012265 | Digoxin                                                                | 2001-2005  |
|       17 | C0012265 | Digoxin                                                                | 2006-2010  |
|        9 | C0012265 | Digoxin                                                                | 2011-2013  |
|        1 | C0743204 | DIGOXIN TREATMENT                                                      | 1991-1995  |
|        1 | C0743204 | DIGOXIN TREATMENT                                                      | 1996-2000  |
|        1 | C0743204 | DIGOXIN TREATMENT                                                      | 2006-2010  |
|        1 | C0220821 | dihydropyridine                                                        | 1996-2000  |
|        1 | C0012373 | Diltiazem                                                              | 1980-1985  |
|        8 | C0012373 | Diltiazem                                                              | 1986-1990  |
|       10 | C0012373 | Diltiazem                                                              | 1991-1995  |
|       13 | C0012373 | Diltiazem                                                              | 1996-2000  |
|       12 | C0012373 | Diltiazem                                                              | 2001-2005  |
|        9 | C0012373 | Diltiazem                                                              | 2006-2010  |
|        6 | C0012373 | Diltiazem                                                              | 2011-2013  |
|        1 | C0301360 | Dimethoxyamphetamine                                                   | 2006-2010  |
|        4 | C0012544 | Diphosphonates                                                         | 2006-2010  |
|        2 | C0012544 | Diphosphonates                                                         | 2011-2013  |
|        2 | C0542380 | Direct current cardioversion                                           | 1980-1985  |
|        2 | C0542380 | Direct current cardioversion                                           | 1986-1990  |
|        7 | C0542380 | Direct current cardioversion                                           | 1991-1995  |
|        9 | C0542380 | Direct current cardioversion                                           | 1996-2000  |
|       19 | C0542380 | Direct current cardioversion                                           | 2001-2005  |
|       21 | C0542380 | Direct current cardioversion                                           | 2006-2010  |
|       14 | C0542380 | Direct current cardioversion                                           | 2011-2013  |
|        1 | C0556903 | Direct current therapy                                                 | 1991-1995  |
|        5 | C1532225 | Direct thrombin inhibitor                                              | 2001-2005  |
|        2 | C1532225 | Direct thrombin inhibitor                                              | 2006-2010  |
|        8 | C1532225 | Direct thrombin inhibitor                                              | 2011-2013  |
|        1 | C0743220 | DISCHARGE PROGRAM                                                      | 2011-2013  |
|        1 | C0457454 | Discontinuation                                                        | 2006-2010  |
|        1 | C0457454 | Discontinuation                                                        | 2011-2013  |
|        3 | C0376636 | Disease Management                                                     | 2006-2010  |
|        1 | C0012702 | Disopyramide                                                           | 1980-1985  |
|        1 | C0012702 | Disopyramide                                                           | 1986-1990  |
|        3 | C0012702 | Disopyramide                                                           | 1996-2000  |
|        5 | C0012702 | Disopyramide                                                           | 2001-2005  |
|        1 | C0012702 | Disopyramide                                                           | 2006-2010  |
|        1 | C0012737 | Dissection                                                             | 1991-1995  |
|        1 | C0012737 | Dissection                                                             | 1996-2000  |
|        2 | C0012798 | Diuretics                                                              | 1980-1985  |
|        2 | C0012798 | Diuretics                                                              | 2011-2013  |
|        1 | C0185033 | Diversion procedure                                                    | 2011-2013  |
|        1 | C1293097 | Division (procedure)                                                   | 1996-2000  |
|        3 | C0012963 | Dobutamine                                                             | 1996-2000  |
|        1 | C0246415 | docetaxel                                                              | 2011-2013  |
|        1 | C0012968 | Docosahexaenoic Acids                                                  | 2011-2013  |
|        1 | C1301725 | Documented                                                             | 2001-2005  |
|        1 | C0114771 | dofetilide                                                             | 1991-1995  |
|       14 | C0114771 | dofetilide                                                             | 1996-2000  |
|       14 | C0114771 | dofetilide                                                             | 2001-2005  |
|        2 | C0114771 | dofetilide                                                             | 2006-2010  |
|        2 | C0114771 | dofetilide                                                             | 2011-2013  |
|        1 | C0190170 | Double valve replacement                                               | 1980-1985  |
|        1 | C0190170 | Double valve replacement                                               | 1996-2000  |
|        1 | C0013103 | Drainage procedure                                                     | 2006-2010  |
|        1 | C0013103 | Drainage procedure                                                     | 2011-2013  |
|        1 | C0766326 | dronedarone                                                            | 2001-2005  |
|        8 | C0766326 | dronedarone                                                            | 2006-2010  |
|        5 | C0766326 | dronedarone                                                            | 2011-2013  |
|        2 | C1322815 | Drug eluting stent                                                     | 2006-2010  |
|        2 | C1322815 | Drug eluting stent                                                     | 2011-2013  |
|        1 | C0013187 | Drug Infusion Systems                                                  | 1996-2000  |
|        1 | C0085421 | Drug Monitoring                                                        | 2006-2010  |
|        2 | C0013230 | Drugs, Investigational                                                 | 2001-2005  |
|        1 | C0013230 | Drugs, Investigational                                                 | 2006-2010  |
|        2 | C0725893 | Dual Chamber                                                           | 2001-2005  |
|        1 | C1510538 | E-Therapy                                                              | 2006-2010  |
|        1 | C0814435 | early identification                                                   | 2001-2005  |
|        1 | C0814435 | early identification                                                   | 2011-2013  |
|        1 | C0013459 | Early Mobilization                                                     | 2011-2013  |
|        1 | C0183129 | Echocardiographs                                                       | 2001-2005  |
|        1 | C0013516 | Echocardiography                                                       | 2011-2013  |
|        2 | C0281163 | educational intervention                                               | 2011-2013  |
|        1 | C0000545 | Eicosapentaenoic Acid                                                  | 2011-2013  |
|        1 | C0199548 | Elective electrical cardioversion of arrhythmia, external              | 1991-1995  |
|        6 | C0199548 | Elective electrical cardioversion of arrhythmia, external              | 1996-2000  |
|       12 | C0199548 | Elective electrical cardioversion of arrhythmia, external              | 2001-2005  |
|       11 | C0199548 | Elective electrical cardioversion of arrhythmia, external              | 2006-2010  |
|        1 | C0199548 | Elective electrical cardioversion of arrhythmia, external              | 2011-2013  |
|        1 | C0747973 | Elective procedure                                                     | 2001-2005  |
|       12 | C0013778 | Electric Countershock                                                  | 1980-1985  |
|        7 | C0013778 | Electric Countershock                                                  | 1986-1990  |
|       31 | C0013778 | Electric Countershock                                                  | 1991-1995  |
|      106 | C0013778 | Electric Countershock                                                  | 1996-2000  |
|      183 | C0013778 | Electric Countershock                                                  | 2001-2005  |
|      180 | C0013778 | Electric Countershock                                                  | 2006-2010  |
|       84 | C0013778 | Electric Countershock                                                  | 2011-2013  |
|        1 | C0013787 | Electric Stimulation Therapy                                           | 1996-2000  |
|        1 | C0879009 | Electroanatomical Mapping Systems                                      | 2001-2005  |
|        1 | C0180580 | Electrocardiographic monitoring                                        | 1996-2000  |
|        1 | C0180580 | Electrocardiographic monitoring                                        | 2001-2005  |
|        3 | C0180580 | Electrocardiographic monitoring                                        | 2006-2010  |
|        3 | C0180580 | Electrocardiographic monitoring                                        | 2011-2013  |
|        1 | C0180600 | Electrocardiographic recorders                                         | 2011-2013  |
|        1 | C0854632 | Electrolyte replacement                                                | 2006-2010  |
|        1 | C0162575 | Embolectomy                                                            | 1996-2000  |
|        1 | C0162575 | Embolectomy                                                            | 2001-2005  |
|        1 | C0162575 | Embolectomy                                                            | 2011-2013  |
|        1 | C0013931 | Embolization, Therapeutic                                              | 1980-1985  |
|        3 | C0013931 | Embolization, Therapeutic                                              | 1986-1990  |
|        1 | C0013931 | Embolization, Therapeutic                                              | 1991-1995  |
|        5 | C0013931 | Embolization, Therapeutic                                              | 1996-2000  |
|        1 | C0013931 | Embolization, Therapeutic                                              | 2001-2005  |
|        3 | C0013931 | Embolization, Therapeutic                                              | 2011-2013  |
|        1 | C1532296 | Emergency CABG                                                         | 2006-2010  |
|        1 | C1527398 | Emergency Care                                                         | 1991-1995  |
|        1 | C0013961 | Emergency medical service                                              | 2006-2010  |
|        2 | C0553618 | Emergency visit                                                        | 2006-2010  |
|        1 | C0553618 | Emergency visit                                                        | 2011-2013  |
|        1 | C1299597 | Empirical therapy                                                      | 1996-2000  |
|        1 | C0014025 | Enalapril                                                              | 2006-2010  |
|        1 | C0085251 | Encainide                                                              | 1980-1985  |
|        3 | C0085251 | Encainide                                                              | 1986-1990  |
|        1 | C0014099 | Endarterectomy, Carotid                                                | 2001-2005  |
|        1 | C0014099 | Endarterectomy, Carotid                                                | 2006-2010  |
|        1 | C0279025 | Endocrine therapy                                                      | 1996-2000  |
|        1 | C0279025 | Endocrine therapy                                                      | 2011-2013  |
|        1 | C0206460 | Enoxaparin                                                             | 2001-2005  |
|        5 | C0206460 | Enoxaparin                                                             | 2006-2010  |
|        1 | C0961485 | eplerenone                                                             | 2011-2013  |
|        1 | C0033567 | Epoprostenol                                                           | 1991-1995  |
|        2 | C0086252 | Erythrocyte Transfusion                                                | 2006-2010  |
|        1 | C0014806 | Erythromycin                                                           | 1996-2000  |
|        2 | C0116569 | esmolol                                                                | 1986-1990  |
|        2 | C0116569 | esmolol                                                                | 1991-1995  |
|        5 | C0116569 | esmolol                                                                | 2001-2005  |
|        2 | C0116569 | esmolol                                                                | 2006-2010  |
|        1 | C0116569 | esmolol                                                                | 2011-2013  |
|        1 | C0085198 | Esophagectomy                                                          | 1996-2000  |
|        1 | C0085198 | Esophagectomy                                                          | 2011-2013  |
|        1 | C0001962 | Ethanol                                                                | 1986-1990  |
|        3 | C0001962 | Ethanol                                                                | 1991-1995  |
|        1 | C0001962 | Ethanol                                                                | 1996-2000  |
|        1 | C0001962 | Ethanol                                                                | 2011-2013  |
|        1 | C0728940 | Excision                                                               | 1991-1995  |
|        3 | C0728940 | Excision                                                               | 1996-2000  |
|        1 | C0728940 | Excision                                                               | 2011-2013  |
|        1 | C0185279 | Excision of muscle NOS                                                 | 2001-2005  |
|        2 | C0185279 | Excision of muscle NOS                                                 | 2011-2013  |
|        1 | C0015259 | Exercise                                                               | 1980-1985  |
|        5 | C0015259 | Exercise                                                               | 1986-1990  |
|        5 | C0015259 | Exercise                                                               | 1991-1995  |
|        6 | C0015259 | Exercise                                                               | 1996-2000  |
|        8 | C0015259 | Exercise                                                               | 2001-2005  |
|        5 | C0015259 | Exercise                                                               | 2006-2010  |
|        1 | C0015259 | Exercise                                                               | 2011-2013  |
|        1 | C0022206 | Exercise, Isometric                                                    | 2006-2010  |
|        1 | C1280903 | Exploration procedure                                                  | 2006-2010  |
|        2 | C1280903 | Exploration procedure                                                  | 2011-2013  |
|        1 | C0185117 | Expression procedure                                                   | 1996-2000  |
|        5 | C0185117 | Expression procedure                                                   | 2001-2005  |
|        9 | C0185117 | Expression procedure                                                   | 2006-2010  |
|        4 | C0185117 | Expression procedure                                                   | 2011-2013  |
|        3 | C0185115 | Extraction                                                             | 2006-2010  |
|        3 | C0185115 | Extraction                                                             | 2011-2013  |
|        1 | C0396583 | Extrapleural pneumonectomy                                             | 2006-2010  |
|        1 | C1142985 | ezetimibe                                                              | 2011-2013  |
|        1 | C0015506 | Factor VIII                                                            | 2006-2010  |
|        1 | C0082544 | Falepsin                                                               | 1986-1990  |
|        1 | C0015689 | Fatty Acids, Omega-3                                                   | 1996-2000  |
|        2 | C0015689 | Fatty Acids, Omega-3                                                   | 2006-2010  |
|        7 | C0015689 | Fatty Acids, Omega-3                                                   | 2011-2013  |
|        2 | C0309049 | FAVOR                                                                  | 2001-2005  |
|        2 | C0309049 | FAVOR                                                                  | 2006-2010  |
|        1 | C0309049 | FAVOR                                                                  | 2011-2013  |
|        3 | C0016018 | Fibrinolytic Agents                                                    | 1996-2000  |
|        1 | C0016018 | Fibrinolytic Agents                                                    | 2006-2010  |
|        2 | C0016018 | Fibrinolytic Agents                                                    | 2011-2013  |
|        1 | C0016157 | Fish Oils                                                              | 2006-2010  |
|        4 | C0016157 | Fish Oils                                                              | 2011-2013  |
|        1 | C0016229 | Flecainide                                                             | 1980-1985  |
|       10 | C0016229 | Flecainide                                                             | 1986-1990  |
|       13 | C0016229 | Flecainide                                                             | 1991-1995  |
|        1 | C0016229 | Flecainide                                                             | 1996-2000  |
|       16 | C0016229 | Flecainide                                                             | 2001-2005  |
|       11 | C0016229 | Flecainide                                                             | 2006-2010  |
|       10 | C0016229 | Flecainide                                                             | 2011-2013  |
|        2 | C0086303 | Flecainide Acetate                                                     | 1980-1985  |
|        3 | C0086303 | Flecainide Acetate                                                     | 1986-1990  |
|        3 | C0086303 | Flecainide Acetate                                                     | 1996-2000  |
|        1 | C0086303 | Flecainide Acetate                                                     | 2001-2005  |
|        1 | C0060455 | flestolol                                                              | 1986-1990  |
|        1 | C0060470 | flosequinan                                                            | 1996-2000  |
|        1 | C0598447 | fluorophore                                                            | 1991-1995  |
|        1 | C1522577 | follow-up                                                              | 1986-1990  |
|        3 | C1522577 | follow-up                                                              | 1991-1995  |
|        8 | C1522577 | follow-up                                                              | 1996-2000  |
|        6 | C1522577 | follow-up                                                              | 2001-2005  |
|       17 | C1522577 | follow-up                                                              | 2006-2010  |
|       11 | C1522577 | follow-up                                                              | 2011-2013  |
|        1 | C1098510 | fondaparinux                                                           | 2011-2013  |
|        2 | C0033325 | Forecast of outcome                                                    | 2006-2010  |
|        1 | C0189876 | Formation of pericardial baffle, interatrial                           | 2011-2013  |
|        1 | C0185061 | fragmentation procedure                                                | 1991-1995  |
|        1 | C0180979 | Frame                                                                  | 2001-2005  |
|        1 | C0016986 | Gallopamil                                                             | 1980-1985  |
|        1 | C0002915 | General Anesthesia                                                     | 2006-2010  |
|        1 | C0061231 | geranylgeranylacetone                                                  | 2006-2010  |
|        1 | C0017725 | Glucose                                                                | 2006-2010  |
|        1 | C0017861 | Glycerol                                                               | 2006-2010  |
|        1 | C0033971 | Group Psychotherapy                                                    | 1980-1985  |
|        1 | C0033971 | Group Psychotherapy                                                    | 2011-2013  |
|        1 | C0525059 | Guideline Adherence                                                    | 2006-2010  |
|        1 | C0669960 | HA 7                                                                   | 2006-2010  |
|        1 | C0336936 | Handball                                                               | 2011-2013  |
|        2 | C0086388 | Health Care                                                            | 2006-2010  |
|        2 | C0086388 | Health Care                                                            | 2011-2013  |
|        1 | C0018791 | Heart Arrest, Induced                                                  | 2001-2005  |
|        1 | C0744682 | HEART RATE TARGET                                                      | 2006-2010  |
|        1 | C0018823 | Heart Transplantation                                                  | 2006-2010  |
|        1 | C0018825 | Heart Valve Prosthesis                                                 | 1996-2000  |
|        2 | C0190173 | Heart valve replacement                                                | 2011-2013  |
|        5 | C0493527 | HEART-VALVE, MECHANICAL                                                | 2006-2010  |
|        1 | C0019134 | Heparin                                                                | 1986-1990  |
|        2 | C0019134 | Heparin                                                                | 2001-2005  |
|        2 | C0019139 | Heparin, Low-Molecular-Weight                                          | 1996-2000  |
|        8 | C0019139 | Heparin, Low-Molecular-Weight                                          | 2001-2005  |
|        5 | C0019139 | Heparin, Low-Molecular-Weight                                          | 2006-2010  |
|        3 | C0019139 | Heparin, Low-Molecular-Weight                                          | 2011-2013  |
|        1 | C1608985 | High frequency ablation                                                | 1996-2000  |
|        1 | C0019948 | Hospital Administration                                                | 2011-2013  |
|        7 | C0184666 | Hospital admission                                                     | 2001-2005  |
|        5 | C0184666 | Hospital admission                                                     | 2006-2010  |
|        2 | C0184666 | Hospital admission                                                     | 2011-2013  |
|        2 | C0600290 | Hospital Readmissions                                                  | 2006-2010  |
|        2 | C0600290 | Hospital Readmissions                                                  | 2011-2013  |
|        3 | C0019993 | Hospitalization                                                        | 1996-2000  |
|       22 | C0019993 | Hospitalization                                                        | 2001-2005  |
|       32 | C0019993 | Hospitalization                                                        | 2006-2010  |
|       47 | C0019993 | Hospitalization                                                        | 2011-2013  |
|        1 | C0020223 | Hydralazine                                                            | 2011-2013  |
|        1 | C1512523 | hydrochloride                                                          | 1980-1985  |
|        2 | C1512523 | hydrochloride                                                          | 2001-2005  |
|        2 | C1512523 | hydrochloride                                                          | 2006-2010  |
|        2 | C1512523 | hydrochloride                                                          | 2011-2013  |
|        1 | C0063103 | hydroquinidine                                                         | 1980-1985  |
|        1 | C0063103 | hydroquinidine                                                         | 1996-2000  |
|        1 | C0360714 | Hydroxymethylglutaryl-CoA Reductase Inhibitors                         | 2001-2005  |
|       15 | C0360714 | Hydroxymethylglutaryl-CoA Reductase Inhibitors                         | 2006-2010  |
|        9 | C0360714 | Hydroxymethylglutaryl-CoA Reductase Inhibitors                         | 2011-2013  |
|       14 | C0082966 | ibutilide                                                              | 1996-2000  |
|       14 | C0082966 | ibutilide                                                              | 2001-2005  |
|        6 | C0082966 | ibutilide                                                              | 2006-2010  |
|        6 | C0082966 | ibutilide                                                              | 2011-2013  |
|        1 | C0086190 | Illicit Drugs                                                          | 2006-2010  |
|        1 | C0079595 | Imaging Techniques                                                     | 2006-2010  |
|        1 | C0020944 | Immobilization                                                         | 2006-2010  |
|        1 | C0848753 | Implant, pacemaker                                                     | 2006-2010  |
|        2 | C0021107 | Implantation procedure                                                 | 1991-1995  |
|        9 | C0021107 | Implantation procedure                                                 | 1996-2000  |
|       13 | C0021107 | Implantation procedure                                                 | 2001-2005  |
|       17 | C0021107 | Implantation procedure                                                 | 2006-2010  |
|       16 | C0021107 | Implantation procedure                                                 | 2011-2013  |
|        1 | C0021102 | Implants                                                               | 2011-2013  |
|        1 | C0152277 | Incision and drainage                                                  | 1991-1995  |
|        1 | C0152277 | Incision and drainage                                                  | 1996-2000  |
|        2 | C0152277 | Incision and drainage                                                  | 2006-2010  |
|        1 | C0185792 | Incision of sternum                                                    | 2011-2013  |
|        1 | C0204525 | Individual psychotherapy                                               | 1996-2000  |
|        1 | C0063479 | indobufen                                                              | 2001-2005  |
|        3 | C0857127 | Induction                                                              | 2006-2010  |
|        1 | C0857127 | Induction                                                              | 2011-2013  |
|        1 | C0007439 | Indwelling Catheter                                                    | 2006-2010  |
|        1 | C1512721 | Inferential Current Treatment                                          | 2006-2010  |
|        1 | C1318493 | Inflation procedure                                                    | 1996-2000  |
|        1 | C0574032 | Infusion procedures                                                    | 2006-2010  |
|        5 | C1533685 | Injection procedure                                                    | 2006-2010  |
|        3 | C1533685 | Injection procedure                                                    | 2011-2013  |
|        1 | C0304509 | Inotropic agent                                                        | 1996-2000  |
|        1 | C0021641 | Insulin                                                                | 2001-2005  |
|        1 | C0021688 | Insurance, Long-Term Care                                              | 2006-2010  |
|        2 | C0419060 | Internal cardioversion                                                 | 1991-1995  |
|       19 | C0419060 | Internal cardioversion                                                 | 1996-2000  |
|       28 | C0419060 | Internal cardioversion                                                 | 2001-2005  |
|        9 | C0419060 | Internal cardioversion                                                 | 2006-2010  |
|        1 | C1273869 | Intervention regimes                                                   | 1986-1990  |
|        1 | C1273869 | Intervention regimes                                                   | 1991-1995  |
|       14 | C1273869 | Intervention regimes                                                   | 1996-2000  |
|       19 | C1273869 | Intervention regimes                                                   | 2001-2005  |
|       27 | C1273869 | Intervention regimes                                                   | 2006-2010  |
|       33 | C1273869 | Intervention regimes                                                   | 2011-2013  |
|        1 | C0702122 | Intra-aortic balloon pump device                                       | 1996-2000  |
|        1 | C0021860 | Intra-Aortic Balloon Pumping                                           | 1991-1995  |
|        1 | C0412775 | Intravenous sedation                                                   | 1996-2000  |
|        1 | C0455142 | Intravenous therapy                                                    | 1996-2000  |
|        2 | C0455142 | Intravenous therapy                                                    | 2011-2013  |
|        2 | C1293116 | Introduction procedure                                                 | 1996-2000  |
|        1 | C1293116 | Introduction procedure                                                 | 2001-2005  |
|        7 | C1293116 | Introduction procedure                                                 | 2006-2010  |
|        6 | C1293116 | Introduction procedure                                                 | 2011-2013  |
|        1 | C0683468 | invasive treatment                                                     | 2001-2005  |
|        1 | C0683468 | invasive treatment                                                     | 2006-2010  |
|        3 | C0683468 | invasive treatment                                                     | 2011-2013  |
|        1 | C0430007 | investigation                                                          | 1991-1995  |
|        1 | C0430007 | investigation                                                          | 1996-2000  |
|        7 | C0430007 | investigation                                                          | 2001-2005  |
|        3 | C0430007 | investigation                                                          | 2006-2010  |
|        2 | C0430007 | investigation                                                          | 2011-2013  |
|        1 | C0021968 | Iodine                                                                 | 2006-2010  |
|        1 | C0022009 | Ion Channel                                                            | 2006-2010  |
|        1 | C0022024 | Iontophoresis                                                          | 2001-2005  |
|        1 | C0022024 | Iontophoresis                                                          | 2006-2010  |
|        1 | C0288171 | irbesartan                                                             | 2006-2010  |
|        1 | C0288171 | irbesartan                                                             | 2011-2013  |
|        1 | C0376466 | Ischemic Preconditioning                                               | 2001-2005  |
|        1 | C0204727 | Isolation procedure                                                    | 1991-1995  |
|        2 | C0204727 | Isolation procedure                                                    | 1996-2000  |
|       32 | C0204727 | Isolation procedure                                                    | 2001-2005  |
|       64 | C0204727 | Isolation procedure                                                    | 2006-2010  |
|       40 | C0204727 | Isolation procedure                                                    | 2011-2013  |
|        1 | C0022245 | Isoproterenol                                                          | 2001-2005  |
|        3 | C0022245 | Isoproterenol                                                          | 2006-2010  |
|        1 | C0022245 | Isoproterenol                                                          | 2011-2013  |
|        1 | C0454287 | Isotonic exercise                                                      | 2001-2005  |
|        1 | C0124637 | Kinilentin                                                             | 1986-1990  |
|        1 | C1618093 | Kordaron                                                               | 1991-1995  |
|        3 | C0905464 | landiolol                                                              | 2006-2010  |
|        9 | C0905464 | landiolol                                                              | 2011-2013  |
|        1 | C0181586 | Leads                                                                  | 2011-2013  |
|        1 | C0023660 | Lidocaine                                                              | 1986-1990  |
|        1 | C0023660 | Lidocaine                                                              | 1996-2000  |
|        1 | C0023660 | Lidocaine                                                              | 2006-2010  |
|        1 | C0023665 | Lidoflazine                                                            | 1980-1985  |
|        1 | C0730543 | Lifestyle counseling                                                   | 2011-2013  |
|        1 | C0023690 | Ligation                                                               | 2006-2010  |
|        2 | C0023690 | Ligation                                                               | 2011-2013  |
|        1 | C0585943 | Lipid-lowering therapy                                                 | 2006-2010  |
|        1 | C0585943 | Lipid-lowering therapy                                                 | 2011-2013  |
|        1 | C0023928 | Lobectomy                                                              | 2011-2013  |
|        1 | C0023977 | long-term care                                                         | 1996-2000  |
|        3 | C0023977 | long-term care                                                         | 2006-2010  |
|        2 | C0023977 | long-term care                                                         | 2011-2013  |
|        1 | C0420257 | Long-term drug therapy                                                 | 2006-2010  |
|        1 | C1517942 | Longterm Follow-up                                                     | 2011-2013  |
|        2 | C0126174 | Losartan                                                               | 2001-2005  |
|        1 | C0024467 | Magnesium                                                              | 2001-2005  |
|        1 | C0024480 | Magnesium Sulfate                                                      | 1996-2000  |
|        2 | C0024480 | Magnesium Sulfate                                                      | 2001-2005  |
|        1 | C0024480 | Magnesium Sulfate                                                      | 2011-2013  |
|        2 | C0181706 | Magnetocardiographs                                                    | 2001-2005  |
|        1 | C0181706 | Magnetocardiographs                                                    | 2006-2010  |
|        1 | C0677908 | Maintenance therapy                                                    | 1986-1990  |
|        1 | C0677908 | Maintenance therapy                                                    | 1996-2000  |
|        1 | C0677908 | Maintenance therapy                                                    | 2011-2013  |
|        2 | C0086583 | Managed Care                                                           | 1996-2000  |
|        1 | C1273870 | Management procedure                                                   | 1980-1985  |
|        1 | C1273870 | Management procedure                                                   | 1986-1990  |
|        2 | C1273870 | Management procedure                                                   | 1991-1995  |
|       10 | C1273870 | Management procedure                                                   | 1996-2000  |
|       25 | C1273870 | Management procedure                                                   | 2001-2005  |
|       38 | C1273870 | Management procedure                                                   | 2006-2010  |
|       41 | C1273870 | Management procedure                                                   | 2011-2013  |
|       22 | C0397414 | Maze operation                                                         | 1991-1995  |
|       58 | C0397414 | Maze operation                                                         | 1996-2000  |
|       58 | C0397414 | Maze operation                                                         | 2001-2005  |
|       60 | C0397414 | Maze operation                                                         | 2006-2010  |
|       39 | C0397414 | Maze operation                                                         | 2011-2013  |
|        1 | C0199470 | Mechanical ventilation                                                 | 2001-2005  |
|        1 | C0418981 | Medical therapy                                                        | 1996-2000  |
|        2 | C0418981 | Medical therapy                                                        | 2001-2005  |
|        8 | C0418981 | Medical therapy                                                        | 2006-2010  |
|        3 | C0418981 | Medical therapy                                                        | 2011-2013  |
|       10 | C0150270 | Medication Management                                                  | 2006-2010  |
|        4 | C0150270 | Medication Management                                                  | 2011-2013  |
|        1 | C0849164 | Medications, blood                                                     | 2001-2005  |
|        1 | C0849166 | Medications, cardiovascular                                            | 2001-2005  |
|        2 | C0668961 | melagatran                                                             | 2001-2005  |
|        1 | C0183432 | Mercury sphygmomanometer                                               | 2011-2013  |
|        1 | C0025859 | Metoprolol                                                             | 1980-1985  |
|        2 | C0025859 | Metoprolol                                                             | 1991-1995  |
|        3 | C0025859 | Metoprolol                                                             | 2001-2005  |
|        4 | C0025859 | Metoprolol                                                             | 2006-2010  |
|        1 | C0724633 | metoprolol succinate                                                   | 2006-2010  |
|        1 | C0699680 | Metric                                                                 | 2011-2013  |
|        1 | C0025876 | Metyrapone                                                             | 2006-2010  |
|        1 | C0025887 | Mexiletine                                                             | 1986-1990  |
|        1 | C0286185 | Mibefradil                                                             | 1996-2000  |
|        1 | C0025973 | Microelectrodes                                                        | 1986-1990  |
|        1 | C0519382 | Mitral valve operation                                                 | 2001-2005  |
|        1 | C0519382 | Mitral valve operation                                                 | 2006-2010  |
|        1 | C0519382 | Mitral valve operation                                                 | 2011-2013  |
|        1 | C0182494 | Mitral valve prosthesis                                                | 1996-2000  |
|        1 | C0026268 | Mitral valve replacement NOS                                           | 1980-1985  |
|        2 | C0026268 | Mitral valve replacement NOS                                           | 1991-1995  |
|        1 | C0026268 | Mitral valve replacement NOS                                           | 1996-2000  |
|        3 | C0026268 | Mitral valve replacement NOS                                           | 2001-2005  |
|        5 | C0026268 | Mitral valve replacement NOS                                           | 2006-2010  |
|        2 | C0026268 | Mitral valve replacement NOS                                           | 2011-2013  |
|        2 | C0190080 | Mitral valvotomy                                                       | 1991-1995  |
|        2 | C0190080 | Mitral valvotomy                                                       | 1996-2000  |
|        2 | C0190080 | Mitral valvotomy                                                       | 2001-2005  |
|        4 | C0190080 | Mitral valvotomy                                                       | 2006-2010  |
|        1 | C0596972 | Monitoring Device                                                      | 2011-2013  |
|        1 | C1139730 | Monitoring Systems                                                     | 2011-2013  |
